LeanData__LD_EmailDomains__c,00132000019TzdkAAC w:real-line.cz
LeanData__Search__c,00132000019TzdkAAC w:real-line.cz
LeanData__Tag__c,
Legacy_Identifier_for_Cloud_App__c,
Legacy_Identifier_for_Service_Object__c,
Legacy__c,false
MasterRecordId,
Migrator_Use_Date__c,
Multi_App__c,
NaicsCode,
NaicsDesc,
Name,real-line.cz
New_Subscription__c,false
NumberOfEmployees,
Number_of_Domains__c,
Number_of_Salesforce_Users__c,
Number_of_Seats__c,
Number_of_Users_on_Google_Apps_Domain__c,
Other_SaaS_Applications_Being_USed__c,
Overall_Health__c,
Own_Competitor__c,false
OwnerId,00560000002IomQAAS
ParentId,
Partner_BusinessType__c,
Partner_CustomerSize__c,
Partner_Customers__c,
Partner_GoogleReseller__c,false
Partner_ISV__c,
Partner_Since__c,
Partner_Tier__c,
Partner_Type__c,
Partner_interested_selling_GAPPS__c,false
Partner_interested_selling_SFDC__c,false
Phone,+420725293794
PhotoUrl,/services/images/photo/00132000019TzdkAAC
Potential_GB_Upsell__c,0.0
Potential_Upsell__c,4.0
Prospect_Create_Date__c,2015-03-23T14:28:58.000+0000
Quarterly_Account_Outreach_Response__c,
Region__c,
Rescue_Use_Date__c,
Reseller_Agreement__c,false
Reseller_Email__c,
Reseller_Margin__c,
Reseller_Name__c,
Reseller_Product_Interest__c,
Risk_Activity__c,
Risk_Relationship__c,
Roll_Up_MRR__c,0.0
Roll_Up_Storage_Purchased__c,0.0
SFDC_At_Risk__c,false
SFDC_Backup_Last_Updated_by_BASS__c,
SFDC_Churn_Date__c,
SFDC_Churn__c,false
SFDC_Domain__c,
SFDC_Paid_Start_Date__c,
SFDC_Paid__c,false
SFDC_Plan_Id__c,
SFDC_Reseller_ID__c,
SFDC_Total_Storage__c,
SFDC_Trial_End_Date__c,
SFDC_Trial_Start_Date__c,
Salesforce_edition__c,
Satisfaction_Indicator__c,"<img src=""/img/samples/stars_100.gif"" alt=""No Satisfaction Level"" border=""0""/>"
Satisfaction_Level__c,
ShippingAddress,
ShippingCity,
ShippingCountry,
ShippingLatitude,
ShippingLongitude,
ShippingPostalCode,
ShippingState,
ShippingStreet,
SicDesc,
Snapshot_for_Google_Apps_Use_Date__c,
Snapshot_for_Salesforce_Use_Date__c,
Subdomain_Information__c,
Subscription_Cancelled__c,false
Success_Image__c,"<img src=""/s.jpg"" alt=""Success Status"" border=""0""/>"
Success_Strategy__c,
SystemModstamp,2015-07-02T13:16:49.000+0000
Territory__c,
Total_Opps__c,1.0
Total_Won_Opportunities__c,0.0
Tradestyle,
Type,
Website,real-line.cz
What_SaaS_Applications_is_Company_Using__c,
YearStarted,
Zuora_Account_Id__c,
Zuora_Account_Link__c,Did not pay via Zuora
qbdialer__Dials__c,0.0
qbdialer__LastCallTime__c,
qbdialer__ResponseTime__c,
qbdialer__TimeZoneSidKey__c,
AccountId,0016000000vYR6tAAG
AccountSite,Headquarters
Address,"{""city""=>""Binghamton"", ""country""=>""United States"", ""countryCode""=>nil, ""geocodeAccuracy""=>nil, ""latitude""=>nil, ""longitude""=>nil, ""postalCode""=>""13902-4600"", ""state""=>""NY"", ""stateCode""=>nil, ""street""=>""4400 Vestal Pkwy""}"
AnnualRevenue,85700000.0
City,Binghamton
CleanedByJob,false
CleanedByUser,true
CompanyName,Binghamton University
CompanyStatusDataDotCom,IsActiveCompanyDataDotCom
Country,United States
CreatedById,00560000002FpjgAAC
CreatedDate,2013-12-13T19:51:06.000+0000
DataDotComId,150917
Description,"Binghamton University is one of the four university centers that belong to the State University of New York (SUNY) system. It offers graduate, undergraduate, and professional programs in arts and sciences, communications and public affairs, nursing, education, business, and engineering. The university enrolls some 15,000 students, including more than 12,000 undergraduate students. There are some 550 faculty members, who conduct 130 undergraduate and 90 graduate (master's and doctoral) programs. The school also offers combined degree and study abroad programs, as well as continuing education and non-degree courses."
DunsNumber,021968495
DunsRightMatchConfidence,9
DunsRightMatchGrade,AAFAAZFAZFA
Fax,+1.607.777.2675
Id,1CA60000000emp7GAA
Industry,Education
IsDeleted,false
IsDifferentAccountSite,true
IsDifferentAnnualRevenue,true
IsDifferentCity,false
IsDifferentCompanyName,false
IsDifferentCountry,false
IsDifferentCountryCode,false
IsDifferentDandBCompanyDunsNumber,false
IsDifferentDescription,true
IsDifferentDunsNumber,false
IsDifferentFax,true
IsDifferentIndustry,true
IsDifferentNaicsCode,true
IsDifferentNaicsDescription,true
IsDifferentNumberOfEmployees,true
IsDifferentOwnership,true
IsDifferentPhone,true
IsDifferentPostalCode,true
IsDifferentSic,true
IsDifferentSicDescription,true
IsDifferentState,false
IsDifferentStateCode,false
IsDifferentStreet,true
IsDifferentTickerSymbol,false
IsDifferentTradestyle,true
IsDifferentWebsite,true
IsDifferentYearStarted,true
IsFlaggedWrongAccountSite,false
IsFlaggedWrongAddress,false
IsFlaggedWrongAnnualRevenue,false
IsFlaggedWrongCompanyName,false
IsFlaggedWrongDescription,false
IsFlaggedWrongDunsNumber,false
IsFlaggedWrongFax,false
IsFlaggedWrongIndustry,false
IsFlaggedWrongNaicsCode,false
IsFlaggedWrongNaicsDescription,false
IsFlaggedWrongNumberOfEmployees,false
IsFlaggedWrongOwnership,false
IsFlaggedWrongPhone,false
IsFlaggedWrongSic,false
IsFlaggedWrongSicDescription,false
IsFlaggedWrongTickerSymbol,false
IsFlaggedWrongTradestyle,false
IsFlaggedWrongWebsite,false
IsFlaggedWrongYearStarted,false
IsInactive,false
IsReviewedAccountSite,false
IsReviewedAddress,true
IsReviewedAnnualRevenue,true
IsReviewedCompanyName,false
IsReviewedDandBCompanyDunsNumber,false
IsReviewedDescription,true
IsReviewedDunsNumber,false
IsReviewedFax,true
IsReviewedIndustry,true
IsReviewedNaicsCode,true
IsReviewedNaicsDescription,true
IsReviewedNumberOfEmployees,true
IsReviewedOwnership,false
IsReviewedPhone,true
IsReviewedSic,false
IsReviewedSicDescription,true
IsReviewedTickerSymbol,false
IsReviewedTradestyle,true
IsReviewedWebsite,true
IsReviewedYearStarted,true
LastMatchedDate,2013-12-13T19:51:06.000+0000
LastModifiedById,00560000002FpjgAAC
LastModifiedDate,2013-12-13T19:51:28.000+0000
LastStatusChangedById,00560000002FpjgAAC
LastStatusChangedDate,2013-12-13T19:51:06.000+0000
Latitude,
Longitude,
NaicsCode,611310
NaicsDescription,"Colleges, Universities and Professional Schools"
Name,0016000000vYR6t
NumberOfEmployees,1500
Ownership,Private
Phone,+1.607.777.4856
PostalCode,13902-4600
Sic,8221
SicDescription,Colleges and Universities
State,NY
Street,4400 Vestal Pkwy
SystemModstamp,2013-12-13T19:51:28.000+0000
TickerSymbol,
Tradestyle,Binghamton University
Website,www.binghamton.edu
YearStarted,1946
Body,fonts.com -- confirmed GAPPS is a subsidiary of Monotype
CommentCount,0
ContentDescription,
ContentFileName,
ContentSize,0
ContentType,
CreatedById,005600000048SUaAAM
CreatedDate,2015-04-06T15:33:54.000+0000
Id,0D53200002bwArpCAE
InsertedById,005600000048SUaAAM
IsDeleted,false
LastModifiedDate,2015-04-06T15:33:54.000+0000
LikeCount,0
LinkUrl,
ParentId,00160000017wtJPAAY
RelatedRecordId,
SystemModstamp,2015-04-06T15:33:54.000+0000
Title,
Type,TextPost
ApiVersion,34.0
Body,(hidden)
BodyCrc,-1
CreatedById,005600000035HslAAE
CreatedDate,2015-05-21T08:56:15.000+0000
Id,01p320000009IloAAE
IsValid,false
LastModifiedById,005600000035HslAAE
LastModifiedDate,2015-11-19T07:08:02.000+0000
LengthWithoutComments,-1
Name,LRMBroker
NamespacePrefix,JBCXM
Status,Active
SystemModstamp,2015-11-20T01:24:16.000+0000
ApiVersion,34.0
ControllerKey,AccountContactAssignmentActionController
ControllerType,2
CreatedById,005600000033yy9AAA
CreatedDate,2015-07-02T13:11:14.000+0000
Description,
Id,099320000004GfhAAE
LastModifiedById,00532000004owZtAAI
LastModifiedDate,2015-08-20T18:25:11.000+0000
Markup,(hidden)
MasterLabel,AccountContactAssignmentActionComponent
Name,AccountContactAssignmentActionComponent
NamespacePrefix,LeanData
SystemModstamp,2015-08-20T18:25:11.000+0000
ApiVersion,29.0
ControllerKey,AdminBroker
ControllerType,2
CreatedById,005600000035HslAAE
CreatedDate,2015-03-26T08:01:59.000+0000
Description,
Id,066320000004aumAAA
IsAvailableInTouch,false
IsConfirmationTokenRequired,false
LastModifiedById,005600000035HslAAE
LastModifiedDate,2015-11-19T07:09:22.000+0000
Markup,"<apex:page docType=""html-5.0"" controller=""JBCXM.AdminBroker"" sidebar=""false"" title=""Config Manager"" extensions=""JBCXM.NSRemoting"">
	<script src=""{!JSENCODE(URLFOR($Resource.GSVendor,'js/vendor/jquery/jquery-1.10.2.min.js'))}""></script>
	<apex:includeScript value=""{!JSENCODE(URLFOR($Resource.JBCXM__NS, 'NS/newStack/js/restclient/restClient.js'))}"" />
	<script src=""{!JSENCODE(URLFOR($Resource.GSVendor,'js/vendor/jquery/jquery-UI-1.10/js/jquery.ui.min.js'))}""></script>
    <script src=""{!JSENCODE(URLFOR($Resource.GSVendor,'js/vendor/underscore-min.js'))}""></script>
	<script src=""{!JSENCODE(URLFOR($Resource.GSVendor,'js/vendor/backbone-min.js'))}""></script>
	<link   href=""{!JSENCODE(URLFOR($Resource.GSVendor, 'js/vendor/multiple-select/multiple-select.css'))}"" rel=""stylesheet"" type=""text/css"" />
	<script src=""{!JSENCODE(URLFOR($Resource.GSVendor, 'js/vendor/multiple-select/jquery.multiple.select.js'))}"" type=""text/javascript""></script>

	<apex:stylesheet value=""{!JSENCODE(URLFOR($Resource.JBCXM__GSAppCSS, 'bootstrap/bootstrap.css'))}""/>
	<apex:stylesheet value=""{!JSENCODE(URLFOR($Resource.JBCXM__GSAppCSS, 'css/CS360/gsApps.css'))}""/>
	<apex:stylesheet value=""{!JSENCODE(URLFOR($Resource.JBCXM__GSAppCSS, 'css/rules/rules-engine.css'))}""/>
	<apex:stylesheet value=""{!JSENCODE(URLFOR($Resource.JBCXM__GSAppCSS, 'css/datascience/datascience.css'))}""/>
	<script src=""{!JSENCODE(URLFOR($Resource.GSVendor, 'js/vendor/moment.min.js'))}"" type=""text/javascript""></script>
	<script src=""{!JSENCODE(URLFOR($Resource.GSVendor, 'js/vendor/moment-timezone-with-data.min.js'))}"" type=""text/javascript""></script>

		<script>
		var nsParams = eval({!(nsParams)});
			var GS = GS || {};
			GS.remoting = ""{!$RemoteAction.NSRemoting.apinsinvoke}"";
        	GS.sessionId = ""{!NSSessionId}"";
		    GS.nsURL = nsParams.url;
		    GS.remotingEndPoint     = '{!$RemoteAction.AdminBroker.adminRequestBroker}';
		    GS.packageNS            = ""{!(pkgNS)}"";
    		GS.isPackagedInstance   = (GS.packageNS) ? ""true"" : ""false"";
        	restClient.config = {sessionId: ""{!NSSessionId}"", remoting : ""{!$RemoteAction.NSRemoting.apinsinvoke}""};
        	var require = {
                            paths : {
                            'framework': ""{!JSENCODE(URLFOR($Resource.GSApp,'js/Gainsight'))}"",
                           // 'framework': ""https://localhost:3000/Rules-UI/GSApp/js/Gainsight"",
                            'vendor' : ""{!JSENCODE(URLFOR($Resource.GSVendor,'js/vendor'))}"",
                            'text' : ""{!JSENCODE(URLFOR($Resource.GSVendor,'js/vendor/text'))}""
                         	},
                         	config: {
                    			text: {
                            		useXhr: function(url, protocol, hostname, port) {
                                		return true;
                            		}
                    			}
                			}
                			//,urlArgs: ""bust="" +  (new Date()).getDate()
                     };
    </script>
    <script  src=""{!JSENCODE(URLFOR($Resource.GSVendor,'js/vendor/require.min.js'))}""></script>
	<script type=""text/javascript"">
        var j$ = $.noConflict();
        window.jLatest = j$;
    </script>

	<script>
		var configManager = null;
		define(""jQuery"", [], function(){
                    return window.jLatest;
               });
		j$(document).ready(function() {

                require([
                			""framework/views/rules/ConfigureDLOptionsView"",
                			""jQuery""
                		],
                		function(ConfigureDLOptionsView, j$){
                     		configManager =  new ConfigureDLOptionsView({
                                            el:j$("".configure_container"")
                                        });
                });

            });
	</script>
<apex:form ></apex:form>

	<div class=""configure_container"">

    </div>

</apex:page>"
MasterLabel,RulesConfig
Name,RulesConfig
NamespacePrefix,JBCXM
SystemModstamp,2015-11-19T07:09:22.000+0000
ApiVersion,34.0
Body,(hidden)
BodyCrc,-1
CreatedById,005600000033yy9AAA
CreatedDate,2015-07-02T13:12:16.000+0000
Id,01q320000004To5AAE
IsValid,false
LastModifiedById,00532000004owZtAAI
LastModifiedDate,2015-08-20T18:26:52.000+0000
LengthWithoutComments,-1
Name,AccountDeleteTrigger
NamespacePrefix,LeanData
Status,Active
SystemModstamp,2015-11-20T01:24:17.000+0000
TableEnumOrId,Account
UsageAfterDelete,false
UsageAfterInsert,false
UsageAfterUndelete,false
UsageAfterUpdate,false
UsageBeforeDelete,true
UsageBeforeInsert,false
UsageBeforeUpdate,false
UsageIsBulk,true
BodyLength,97
ContentType,image/gif
CreatedById,00560000002GYS8AAO
CreatedDate,2015-03-23T21:22:40.000+0000
Description,
Id,00P3200000aiAslEAE
IsDeleted,false
IsPrivate,false
LastModifiedById,00560000002GYS8AAO
LastModifiedDate,2015-03-23T21:22:40.000+0000
Name,35C.gif
OwnerId,00560000002GYS8AAO
ParentId,00T32000042yx1xEAA
SystemModstamp,2015-03-23T21:22:40.000+0000
Account_Field__c,SFDC_Reseller_ID__c
CreatedById,00560000002FQNAAA4
CreatedDate,2014-01-03T21:34:13.000+0000
Id,a0x6000000HOEEdAAP
IsDeleted,false
LastModifiedById,00560000002FQNAAA4
LastModifiedDate,2014-01-03T21:34:13.000+0000
Lead_Field__c,SFDC_Reseller_ID__c
Name,26
SetupOwnerId,00D60000000JcKqEAK
SystemModstamp,2014-01-03T21:34:13.000+0000
CreatedById,00560000001NQL5AAO
CreatedDate,2012-10-02T15:31:48.000+0000
Id,a086000000HAo4uAAD
IsDeleted,false
LastModifiedById,00560000001PYIBAA4
LastModifiedDate,2013-03-25T19:17:30.000+0000
Name,Google Apps
Number_of_Users_on_Cloud_Application__c,0.0
PlanID__c,5
SetupOwnerId,00D60000000JcKqEAK
SystemModstamp,2013-03-25T19:17:30.000+0000
CreatedById,00560000001N7ADAA0
CreatedDate,2010-10-12T20:43:14.000+0000
Description,
DeveloperName,Sample_Letterhead
Id,01660000000IAe7AAG
IsActive,true
LastModifiedById,00560000001N7ADAA0
LastModifiedDate,2010-10-12T20:43:14.000+0000
Name,Sample Letterhead
NamespacePrefix,
SystemModstamp,2010-10-12T20:43:14.000+0000
Value,"<body >
<style background-color=""#CCCCCC"" bLabel=""body"" bEditID=""b1st1"" >
</style>
<center >
<table id=""topTable"" height=""450"" width=""500"" cellpadding=""0"" cellspacing=""0"" >
<tr valign=""top"" >
<td >
<style vertical-align=""middle"" height=""100"" text-align=""left"" background-color=""#FFFFFF"" bLabel=""header"" bEditID=""r1st1"" >
</style>
<img id=""r1sp1"" bLabel=""headerImage"" border=""0"" bEditID=""r1sp1"">
<![CDATA[/servlet/servlet.ImageServer?id=01560000000qgIP&oid=00D60000000JcKq]]></img>
</td>
</tr>
<tr valign=""top"" >
<td >
<style height=""1"" background-color=""#666666"" bLabel=""accent1"" bEditID=""r2st1"" >
</style>
<![CDATA[]]></td>
</tr>
<tr valign=""top"" >
<td styleInsert=""1"" height=""300"" >
<style color=""#000000"" font-size=""12pt"" background-color=""#FFFFFF"" font-family=""arial"" bLabel=""main"" bEditID=""r3st1"" >
</style>
<![CDATA[]]></td>
</tr>
<tr valign=""top"" >
<td >
<style height=""1"" background-color=""#666666"" bLabel=""accent2"" bEditID=""r4st1"" >
</style>
<![CDATA[]]></td>
</tr>
<tr valign=""top"" >
<td >
<style vertical-align=""top"" height=""100"" text-align=""left"" background-color=""#FFFFFF"" bLabel=""footer"" bEditID=""r5st1"" >
</style>
<img id=""r5sp1"" bLabel=""footerImage"" border=""0"" bEditID=""r5sp1"">
<![CDATA[]]></img>
</td>
</tr>
<tr valign=""top"" >
<td >
<style height=""0"" background-color=""#666666"" bLabel=""accent3"" bEditID=""r6st1"" >
</style>
<![CDATA[]]></td>
</tr>
</table>
</center>
</body>"
CreatedById,00560000001N7ADAA0
CreatedDate,2010-10-12T20:43:14.000+0000
FridayEndTime,00:00:00.000Z
FridayStartTime,00:00:00.000Z
Id,01m60000000HgrYAAS
IsActive,true
IsDefault,true
LastModifiedById,00560000003dtmtAAA
LastModifiedDate,2015-07-10T10:42:53.000+0000
MondayEndTime,00:00:00.000Z
MondayStartTime,00:00:00.000Z
Name,Default
SaturdayEndTime,00:00:00.000Z
SaturdayStartTime,00:00:00.000Z
SundayEndTime,00:00:00.000Z
SundayStartTime,00:00:00.000Z
SystemModstamp,2015-07-10T10:42:53.000+0000
ThursdayEndTime,00:00:00.000Z
ThursdayStartTime,00:00:00.000Z
TimeZoneSidKey,America/New_York
TuesdayEndTime,00:00:00.000Z
TuesdayStartTime,00:00:00.000Z
WednesdayEndTime,00:00:00.000Z
WednesdayStartTime,00:00:00.000Z
CreatedById,00560000001N7ADAA0
CreatedDate,2011-02-14T18:50:51.000+0000
Description,
Id,01960000000PUNIAA4
IsActive,true
LastModifiedById,00532000004k3ddAAA
LastModifiedDate,2015-06-23T19:16:39.000+0000
Name,Backupify
NamespacePrefix,
SystemModstamp,2015-06-23T19:16:39.000+0000
TableEnumOrId,Opportunity
AdapterUrl,/apex/qbdialer__ClickToCall
CreatedById,00532000004k3ddAAA
CreatedDate,2015-05-27T14:59:51.000+0000
CustomSettings,"{""reqSoftphoneHeight"":""100"",""reqUseApi"":""true"",""reqSoftphoneWidth"":""200""}"
Id,04v320000008OsIAAU
InternalName,ClickToCall
LastModifiedById,00532000004k3ddAAA
LastModifiedDate,2015-06-15T15:21:31.000+0000
Name,InsideSales.com | Click-to-Call
SystemModstamp,2015-06-15T15:21:31.000+0000
Version,
ActualCost,
AmountAllOpportunities,4337.75
AmountWonOpportunities,180.25
BudgetedCost,
CampaignMemberRecordTypeId,
Campaign_ROI__c,
CreatedById,005600000033yy9AAA
CreatedDate,2015-04-16T19:36:10.000+0000
Description,
EndDate,
ExpectedResponse,0.0
ExpectedRevenue,
Id,70132000000K6CgAAK
IsActive,true
IsDeleted,false
LastActivityDate,
LastModifiedById,005600000033yy9AAA
LastModifiedDate,2015-04-16T19:36:10.000+0000
LastReferencedDate,
LastViewedDate,
Name,April 2015 Product Demo Webinar
NumberOfContacts,57
NumberOfConvertedLeads,20
NumberOfLeads,288
NumberOfOpportunities,5
NumberOfResponses,325
NumberOfWonOpportunities,3
NumberSent,0.0
OwnerId,005600000033yy9AAA
ParentId,
StartDate,
Status,In Progress
SystemModstamp,2015-10-30T12:49:07.000+0000
Type,Product Marketing
CampaignId,70132000000KEqSAAW
ContactId,
CreatedById,00560000001PYIBAA4
CreatedDate,2015-08-20T19:34:11.000+0000
FirstRespondedDate,2015-08-20
HasResponded,true
Id,00v3200001vIGp1AAG
IsDeleted,false
LastModifiedById,00560000001PYIBAA4
LastModifiedDate,2015-08-20T19:34:11.000+0000
LeadId,00Q320000192tKkEAI
Name,Jason Santarcangelo
Status,Responded
SystemModstamp,2015-08-20T19:34:12.000+0000
CampaignId,70132000000K6CgAAK
CreatedById,005600000033yy9AAA
CreatedDate,2015-04-16T19:36:10.000+0000
HasResponded,false
Id,01Y32000000Va6oEAC
IsDefault,true
IsDeleted,false
Label,Sent
LastModifiedById,005600000033yy9AAA
LastModifiedDate,2015-04-16T19:36:10.000+0000
SortOrder,1
SystemModstamp,2015-04-16T19:36:10.000+0000
AccountId,0016000000QgYdVAAV
CaseNumber,00001004
ClosedDate,
ContactId,0036000000xyD72AAE
CreatedById,00560000001N7ADAA0
CreatedDate,2010-10-12T20:43:14.000+0000
Description,Customer requires consultation for installation of new widgets.
HasCommentsUnreadByOwner,false
HasSelfServiceComments,false
Id,50060000008XwwXAAS
IsClosed,false
IsDeleted,false
IsEscalated,false
LastModifiedById,00560000001N7ADAA0
LastModifiedDate,2011-04-06T14:32:41.000+0000
LastReferencedDate,
LastViewedDate,
Origin,Email
OwnerId,00560000001N7ADAA0
ParentId,
Priority,Medium
Priority_Flag__c,"<img src=""/img/samples/light_yellow.gif"" alt=""Current Status"" border=""0""/>"
Reason,
Status,On Hold
Subject,Requires installation consult
SuppliedCompany,
SuppliedEmail,
SuppliedName,
SuppliedPhone,
SystemModstamp,2011-04-06T14:32:41.000+0000
Type,
CommentBody,Direct customer to Products | Information as well as Help | Training Guide on the website.
CreatedById,00560000001N7ADAA0
CreatedDate,2010-10-12T20:43:14.000+0000
Id,00a60000007SBX9AAO
IsDeleted,false
IsPublished,false
LastModifiedById,00560000001N7ADAA0
LastModifiedDate,2010-10-12T20:43:14.000+0000
ParentId,50060000008XwweAAC
SystemModstamp,2010-10-12T20:43:14.000+0000
CaseId,50060000008XwwYAAS
CreatedById,00560000001N7ADAA0
CreatedDate,2010-10-12T20:43:14.000+0000
Id,01060000000uDqDAAU
IsDeleted,false
SolutionId,50160000000O7mgAAC
SystemModstamp,2010-10-12T20:43:14.000+0000
CategoryNodeId,02n60000000MAOUAA4
CreatedById,00560000001N7ADAA0
CreatedDate,2010-10-12T20:43:14.000+0000
Id,02o60000000MEBBAA4
IsDeleted,false
LastModifiedById,00560000001N7ADAA0
LastModifiedDate,2010-10-12T20:43:14.000+0000
RelatedSobjectId,50160000000O7meAAC
SystemModstamp,2010-10-12T20:43:14.000+0000
CreatedById,00560000001N7ADAA0
CreatedDate,2010-10-12T20:43:14.000+0000
Id,02n60000000MAOTAA4
LastModifiedById,00560000001N7ADAA0
LastModifiedDate,2010-10-12T20:43:14.000+0000
MasterLabel,Internal Operations
ParentId,
SortOrder,1
SortStyle,alphabetical
SystemModstamp,2010-10-12T20:43:14.000+0000
Body,"Like getting to Inbox Zero every day? Like being able to easily find ideas/projects? Want a central place to store all your team's ideas? This group solves that. Post your big project ideas here for others to view, comment and decide to implement/not implement and come back to at any time."
CommentCount,0
ContentDescription,
ContentFileName,
ContentSize,0
ContentType,
CreatedById,00560000001P57nAAC
CreatedDate,2012-05-21T20:40:34.000+0000
Id,0D56000000hAZZuCAO
InsertedById,00560000001P57nAAC
IsDeleted,false
LastModifiedDate,2012-05-21T20:40:34.000+0000
LikeCount,0
LinkUrl,
ParentId,0F960000000PFxNCAW
RelatedRecordId,
SystemModstamp,2012-05-21T20:40:34.000+0000
Title,
Type,TextPost
AccountId,00132000019TzdkAAC
Action_Timestamp__c,
Admin_in_BASS__c,true
Alt_Email__c,
Alt_Phone__c,
BackupifyId__c,
Birthdate,
Campaign_Source__c,
Category_c1__c,
CompanySizeSeats__c,
Contact_Us_Info__c,
CreatedById,00560000001PYIBAA4
CreatedDate,2015-03-23T15:29:29.000+0000
Created__c,
Created_from_Lead__c,false
Creative_cr5__c,
Customer_Reference__c,
Deleted__c,
Demand_Funnel_Stage__c,Closed Lost
Description,
Do_Not_Market__c,false
Domain_Owner__c,true
Email,ondrej.mejzr@real-line.cz
EmailBouncedDate,
EmailBouncedReason,
FA_Code__c,
FA_Comment__c,
Feature_Requests__c,
FirstName,Ondřej
First_Engagement_Asset__c,
First_Engagement_Type__c,
Flag__c,false
FreeSpace_Users__c,
GA_Users__c,0.0
Google_Apps_Domain__c,real-line.cz
Google_Checkout_Id__c,
HasOptedOutOfEmail,false
Have_Rep_Contact_Me_about_Google_Apps__c,false
Hot_Lead_Timestamp__c,
Hot_Lead__c,false
I_am_interested_in__c,
I_would_like_to__c,
Id,0033200001vPlXdAAK
InitialPlanId__c,
Initial_Services__c,0.0
Interest_Rating__c,
IsDeleted,false
IsEmailBounced,false
Jigsaw,
JigsawContactId,
Job_Role__c,
Keyword_kw__c,
LastActivityDate,2015-03-23
LastCURequestDate,
LastCUUpdateDate,
LastModifiedById,00560000001PYIBAA4
LastModifiedDate,2015-04-08T04:18:26.000+0000
LastName,Mejzr
LastReferencedDate,
LastViewedDate,
LeadSource,Direct
Lead_Rating__c,
LeanData__Tag__c,
List_Industry__c,
List__c,
MailingAddress,"{""city""=>nil, ""country""=>""Czech Republic"", ""countryCode""=>nil, ""geocodeAccuracy""=>nil, ""latitude""=>nil, ""longitude""=>nil, ""postalCode""=>nil, ""state""=>nil, ""stateCode""=>nil, ""street""=>nil}"
MailingCity,
MailingCountry,Czech Republic
MailingLatitude,
MailingLongitude,
MailingPostalCode,
MailingState,
MailingStreet,
Manually_Fixed__c,false
MasterRecordId,
MobilePhone,
Most_Recent_Engagement_Asset__c,
Most_Recent_Engagement_Type__c,
Most_Recent_Lead_Source__c,
NPS_Onboarding_Score__c,
NPS_Segment__c,6.0
Name,Ondřej Mejzr
Name__c,Ondřej Mejzr
Non_System_Email_Message_HTML__c,
Non_System_Email_Message_Subject__c,
Non_System_Email_Message__c,
Onboarding_Experience__c,
OtherAddress,
OtherCity,
OtherCountry,
OtherLatitude,
OtherLongitude,
OtherPostalCode,
OtherState,
OtherStreet,
OwnerId,00560000002IomQAAS
PaidDate__c,
Paid__c,false
Parsed_Original_Referrer__c,Direct
Partner_Comments__c,
Percent_of_Domain_Backed_Up__c,
Phone,+420725293794
PhotoUrl,/services/images/photo/0033200001vPlXdAAK
Plan_Updated__c,
Plan__c,Unknown
PromoCode__c,
Prospect_Create_Date__c,
Purchased_Data_Salesforce__c,
Qualification_Rating__c,
Reference_Source__c,
Reference_able__c,false
Referring_URL__c,
ReportsToId,
Reseller__c,false
SFDC_ID2__c,0033200001vPlXd
